eNBId;MeContext
450467;MT67T
208765;PZ63L
450587;PZ63T
205297;MT67L
202273;MT69E
450654;PZ67E
210051;PZ67L
206131;PZ65L
450635;PZ65E
210938;PZ66L
450662;PZ66E
202275;PZ69E
210925;PZ69L
209719;PU81L
213009;MT6CE
213010;MT6CL
450863;PU81E
450513;PZ6CE
202271;PU86E
207155;PZ6DL
450514;PZ6DE
451127;PU87E
451108;PZ6AE
450329;PU84T
450947;PZ6BE
212505;PU84L
211121;PU85L
211120;PU85E
210918;PZ6EE
205049;PZ6FL
450721;PZ6FE
210795;PU89L
451088;PU89E
206276;MT71T
451142;MT72E
206403;MT72L
206275;MT71E
211876;MT73T
204473;MT75T
450987;MT76E
210193;MT76L
204472;MT75E
451177;MT78E
207232;MT78L
450144;PZ74T
205439;PZ75E
450565;MT79E
212042;PZ76L
451017;PZ76E
207067;PZ74L
450771;PU90E
210735;PU90L
450443;PU94E
450885;PZ7BE
207157;PU94L
451118;PU95E
211438;PU92E
211439;PU92L
450944;PU93E
450805;PZ7EE
450543;PU98E
209980;PZ7FL
450637;PZ7FE
450248;PU99E
450289;PZ7CE
207613;PU95L
209892;PU96L
450977;PU96E
207228;PU97L
450804;PU97E
210402;MT81L
450602;MT82E
450409;MT81E
202405;MT84E
209701;MT82L
450942;MT83E
211649;MT83L
451093;MT85E
207316;MT85L
205163;MT88E
211100;PZ83L
211099;PZ83E
451143;PZ80T
450139;MT88T
450776;MT89E
450655;PZ82E
450940;MT43E
206728;MT43L
450601;MT46E
210065;MT46L
451059;MT45E
207233;MT45L
208861;MT48E
450361;MT48T
450376;PZ43E
205341;PZ44L
202998;PZ44E
208569;PZ41F
450899;PZ41E
450882;MT49E
210948;MT49L
450406;PZ45T
206314;PZ45L
205728;MT4AE
205729;MT4AL
211688;PU63L
202403;PU63E
450178;PU60T
211225;PU60L
450723;PU61E
210400;PU66L
450613;PU66E
451062;PZ4CT
207313;PZ4DL
450730;PZ4DE
210933;PU67L
450785;PU67E
210399;PU64L
450363;PU64E
211611;PZ4BL
450377;PZ4BE
209979;PU65L
451097;PU65E
450729;PZ4ET
450470;PZ4FE
206356;MT50L
450364;PU68E
210401;PZ4FL
204954;PU69L
202278;PU69E
450883;MT52E
450177;MT50T
205492;MT52T
211983;MT55T
450784;MT56E
205037;MT56L
450385;PZ51E
211981;MT55E
204676;MT57T
204675;MT57E
450525;PZ55T
206172;PZ55L
451162;PZ56E
206435;MT59E
206436;MT59L
209982;PZ56L
209067;PZ59E
209068;PZ59L
450472;PZ58E
210397;PZ58L
450566;PU70E
209904;PU70L
202276;PU71E
212963;MT5DE
212964;MT5DL
211655;MT5FE
211656;MT5FL
211223;PU74L
450651;PU74E
208319;PZ5BL
450446;PZ5BE
210036;PU71L
451160;PU72E
205438;PU72L
450603;PU73E
450722;PU77T
450946;PZ5EE
450448;PZ5FE
210862;PU78L
207149;PZ5FL
450284;PU78T
207148;PZ5CL
450447;PZ5CE
205238;PU76L
205237;PU76E
208318;PZ5DL
451023;PZ5DE
208884;PU77L
450941;MT64E
205769;MT64L
205876;MT66E
205877;MT66L
450442;MT65E
