gNBId;MeContext
1050802;MT67T
1053019;PZ63T
1053764;PZ67E
1051045;PZ65E
1054978;PZ66E
1054971;PZ69E
1056990;MT6CE
1050735;PZ6FE
1054676;PU89E
1051193;MT72E
1053901;MT76E
1051572;PZ74T
1055507;PU92E
1053721;PZ7FE
1053657;PU96E
1053853;PU97E
1053513;MT82E
1054111;MT81E
1055169;PZ83E
1050126;MT88V
1051316;MT43E
1053772;MT46E
1053068;MT48E
1050828;PZ44E
1055821;PU63E
1055305;PU60T
1054109;PU66E
1051658;PZ4DE
1054108;PU64E
1055756;PZ4BE
1053720;PU65E
1054110;PZ4FE
1050699;PU69E
1051182;MT50T
1051003;MT57T
1053723;PZ56E
1054106;PZ58E
1053664;PU70E
1053762;PU71E
1056941;MT5DE
1055802;MT5FE
1055299;PU74E
1053084;PU77T
1054909;PU78T
1050951;MT64E
1053852;MT65E
1052221;MT20E
1053771;MT22E
1051752;MT28B
1050867;MT28T
1053481;PZ24E
1055489;MT2FT
1056304;PZ2EE
1054993;PU44E
1050990;PZ2AT
1053832;PZ2CE
1050766;PZ2FE
1051561;MT30E
1053655;MT31E
1056137;MT33E
1051025;PZ33E
1055315;PU50E
1053663;PU54E
1055207;PU55E
1053615;PU53E
1053550;PU58E
1055171;PU57E
1052027;MT01T
1053888;MT02E
1053856;PZ03E
1052035;MT08T
1053107;PZ01T
1053729;PZ08E
1055240;MT0BE
1053658;PZ09E
1053943;MT0CE
1053728;PU23E
1052931;PU21E
1053612;MT10E
1052988;MT13E
1053361;PZ10E
1053023;MT19E
1052233;PZ17E
1051880;PU31B
1051966;PZ1BE
1054531;PU34T
1051783;PU02T
1055083;PU03E
1054282;PZ88E
1053891;PZ86E
1054965;MT94E
1057035;PZ91E
1053229;MT96E
1053572;MT97E
1053141;PZ94T
1051693;PZ95T
1056978;PZ93E
1056367;PZ99E
1050832;BA13T
1051652;BA12E
1055295;BY76E
1050764;BA11T
1051394;LEC4E
1053414;BA10T
1051733;BA17E
1051661;LE21E
1053363;BA16T
1051926;LEC1E
1051628;BA15E
1051927;LEC1B
1050801;BA14T
1051784;TA87E
1053270;BR28E
1052963;BAB0E
1055320;LE1EE
1056765;BF02E
1054991;LE2EE
1051340;BA1BT
1056518;BF01T
1056413;BA1CE
1056279;BT98E
1051342;BA1AE
1051384;LE2AE
1054900;BR36E
1051562;BA19T
1052990;BH64E
1053124;LE26E
1052192;BA25E
1053236;BAC7E
1051351;BA24T
1056194;LE36E
1056588;BA23E
1051615;LE33T
1056719;LED4E
1050765;BA29T
1052224;LE32E
1053533;TK62E
1053731;BA27E
1055606;TK66E
1056329;BA21E
1051397;BAC3E
1053234;BA20E
1050773;BACDE
1054625;TA8EE
1051878;LE3AE
